Tiempo;Inflacion ;Tasa desempleo ;exportaciones ;Importaciones ;IPP
2017.01;1.34234962;10.3;2.67226404;15.42497107;3.48717949
2017.02;1.20809423;10.0;-0.09949446;2.79165159;3.81836945
2017.03;1.14977005;9.7;10.14313614;10.70259209;2.98353909
2017.04;1.16894795;9.3;-3.320102;-0.56163525;3.20579111
2017.05;0.80597015;9.2;8.76116957;12.59743773;2.26570546
2017.06;0.68568021;8.9;3.81929881;5.64804911;1.53846154
2017.07;0.71820449;9.1;4.25927445;9.56434148;1.33196721
2017.08;0.90475244;9.6;4.97931963;3.92540895;1.84615385
2017.09;0.98664541;9.2;5.29117013;3.62229319;1.94274029
2017.1;1.05609246;9.3;12.53517729;11.2701761;1.62436548
2017.11;1.1758844;9.2;7.46079919;9.42855208;2.42179617
2017.12;1.19225037;9.3;-2.09891435;-1.4869281;1.8018018
2018.01;1.33452843;9.8;8.94735358;4.42706593;0.59464817
2018.02;1.18372625;9.7;4.25022207;2.72991878;1.09343936
2018.03;1.56172778;9.3;-0.33667011;-1.07420872;1.6983017
2018.04;1.63934426;8.9;9.48393061;10.06472257;1.40280561
2018.05;2.02349225;8.7;-5.53719008;1.22297445;2.51762336
2018.06;2.02329254;8.4;3.58373535;7.25872125;3.13131313
2018.07;2.28780826;8.6;13.76353672;8.72023536;3.74115268
2018.08;2.25637994;9.1;3.73220939;6.71019801;3.62537764
2018.09;2.20073029;8.8;-3.00086303;1.21471151;3.6108325
2018.1;2.2084196;9.0;11.81289892;9.40868232;3.5964036
2018.11;1.89106668;9.0;3.13720876;0.48073947;2.36453202
2018.12;1.59057437;9.0;-1.57959586;1.58045637;1.27826942
2019.01;1.23832924;9.3;5.32922663;1.10945167;1.87192118
2019.02;1.31734172;9.0;7.22179189;5.02684794;1.7699115
2019.03;1.10948905;8.7;3.33528511;4.80857072;1.66994106
2019.04;1.26311698;8.2;6.91402176;6.34511618;1.87747036
2019.05;0.93846749;8.0;15.31058618;6.18122977;0.78585462
2019.06;1.17055238;7.9;-3.40009636;-3.58894384;-0.09794319
2019.07;1.06506584;8.1;4.17415756;5.2407932;-0.19493177
2019.08;1.04066294;8.6;1.05111294;-1.333267;-0.48590865
2019.09;0.90768637;8.2;3.86903249;3.76486276;-0.58083253
2019.1;0.76203338;8.4;0.86478657;0.4069077;-1.15718419
2019.11;1.03431609;8.4;-3.43883349;-2.65092402;-0.28873917
2019.12;1.4593602;8.4;1.93294775;1.28528108;0.67961165
2020.01;1.48529269;8.7;-4.66887824;-2.90356615;0.1934236
2020.02;1.42635358;8.1;-1.32925566;-1.02251713;-0.48309179
2020.03;0.67378959;7.5;-16.05317642;-19.00356577;-1.93236715
2020.04;0.32623297;7.2;-42.56445993;-39.68230957;-3.685742
2020.05;0.36422889;6.5;-41.64509506;-31.22015646;-3.31384016
2020.06;0.20080321;6.8;-18.16173851;-9.7096884;-2.15686275
2020.07;0.77601073;8.3;-17.33079629;-13.35047508;-2.1484375
2020.08;0.21934007;9.4;-18.28618047;-10.69429738;-2.24609375
2020.09;0.04784689;9.1;-5.63631914;-4.43573433;-2.14216164
2020.1;0.04786521;8.5;-12.00109811;-11.27549833;-2.04878049
2020.11;0.20091848;8.2;-5.73541923;-7.19694573;-1.93050193
2020.12;-0.01905125;8.1;-3.25219228;-2.51721517;-1.06075217
2021.01;0.55481156;8.5;-6.89006315;-9.48407007;0.19305019
2021.02;0.56443126;8.4;-7.81452105;-5.3566326;1.65048544
2021.03;1.10909265;8.1;16.20239362;25.29410326;4.2364532
2021.04;1.24330528;7.9;69.09730648;63.96223176;6.14300101
2021.05;1.42297775;7.6;46.06883365;35.00738552;6.65322581
2021.06;1.47914877;7.4;31.29607058;20.58365942;7.41482966
2021.07;1.15029946;7.7;10.38967991;9.77628376;8.48303393
2021.08;1.86506804;8.3;25.53039758;20.87850045;9.79020979
2021.09;2.16164515;7.8;12.50356615;12.93872428;11.24378109
2021.1;2.62175868;7.7;8.471119;13.93229451;14.34262948
2021.11;2.77857347;7.6;15.11444258;27.57915312;16.73228346
2021.12;2.75342988;7.6;17.5006982;33.6987337;17.34892788
